Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Slovakia;1996;11.8861062;11.1618196;179.5012393;167.4661191;6.630544183;7.639867087;201.16;0.782;Europe;1,1500000000000001
Slovenia;1996;13.543199;12.4246259;179.8026954;166.0512293;7.423090693;8.880318612;;0.754;Europe;0,7000000000000001
Solomon Islands;1996;5.9710995;3.2954262;164.1434391;154.4162304;2.048782662;4.022428667;28.76;0.788;Oceania;3,2028
Somalia;1996;4.2923717;5.1540265;166.6032003;156.0613901;3.192352354;2.828226568;;;Africa;11,2022
South Africa;1996;3.1169938;1.4179357;166.6780993;158.0260573;0.858002116;2.012144241;151.44;;Africa;6,2018
South Asia;1996;7.1097;5.3745;165.2444;153.2966;3.36179606;4.863431675;232.16;0.647;South America;10,1982
South Korea;1996;20.1609134;15.1678303;174.9196246;162.3352853;9.494622809;14.1804132;81.32;;Asia;0,97
Spain;1996;12.2888666;14.3036078;176.5938671;163.3978007;8.813595999;8.132455353;;0.789;Europe;0,65
Sri Lanka;1996;9.3014057;8.7655799;165.6894656;154.5649118;5.58587997;6.403126256;95.72;0.806;Asia;1,9300000000000002
Sub-Saharan Africa;1996;4.2828;4.8802;167.3044;157.5269;3.004601531;2.794756862;;0.655;;16,66
Sudan;1996;4.2760631;5.1264328;166.6314888;156.0380253;3.174162424;2.817611896;138.28;;Africa;11,600000000000001
Suriname;1996;10.1720534;11.0062056;172.7216773;160.6629909;6.805907613;6.759246483;270.28;0.375;South America;3,6100000000000003
Sweden;1996;5.4089258;7.8406902;179.7370423;165.697469;4.561289466;3.374493081;50.48;;Europe;0,45
Switzerland;1996;5.9181368;10.8923077;178.42409;163.4526375;6.501636615;3.756724256;;0.863;Europe;0,61
Syria;1996;9.0370823;11.191338;170.4283087;158.6470419;7.028102802;6.040428274;;0.854;Asia;2,1977
Taiwan;1996;12.0726412;13.2073055;174.5214084;161.4534698;8.187322288;8.081787545;96.44;0.583;Asia;
Tajikistan;1996;6.4410295;9.8711251;171.2644735;157.327442;6.116190783;4.268793587;100.16;;Asia;10,1975
Tanzania;1996;4.8863034;4.0137251;164.8003909;155.8614517;2.496304703;3.236495182;255.92;0.534;Africa;15,180000000000001
Thailand;1996;9.6821193;10.7060255;169.1624398;157.8689636;6.756448167;6.533723925;238;0.372;Asia;2,1969
Timor;1996;6.3060867;6.7594311;159.7905503;151.1508345;4.417030428;4.353686824;;0.619;Asia;13,200000000000001
Togo;1996;5.288635;5.5437756;168.3303395;158.3035391;3.405548632;3.456287498;176.44;;Africa;13,040000000000001
Tokelau;1996;7.1417544;7.1100034;175.2555343;162.4640311;4.228481936;4.598023253;31.44;0.417;Oceania;
Tonga;1996;7.949119;6.3459455;176.757346;165.5203371;3.723897275;5.044778543;37.72;;Oceania;1,9000000000000001
Trinidad and Tobago;1996;6.4250985;9.8350379;173.7350948;160.6408952;6.000631169;4.166303736;102.6;0.671;North America;2,1985
Tunisia;1996;9.4926205;9.8807289;173.9514542;160.3545173;6.022237594;6.292258484;56.96;0.69;Africa;4
Turkey;1996;10.915628;13.8874943;174.2095618;160.4951587;8.66224751;7.29754128;35.44;0.616;Asia;5,120000000000001
Turkmenistan;1996;8.8730765;10.270118;171.9696756;161.7255615;6.351358131;5.804993291;;0.615;Asia;7,1996
